id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456433390178213893,2021-11-05T01:29:14.000Z,4660202232,i told her my safe word is perry the platypus and she laughed ??? how am i suppose to feel safe around that environment.,,2
1456431919395221513,2021-11-05T01:23:23.000Z,1231314732252004352,"@UnrivaledSmarts @PastelInferno ⠀\n — Charging in with another Spin Attack, he intended to strike the back of his foe's head. An attempt to daze. Starline narrowly avoided! Slipping into the Warp Topaz just in time, the platypus dipped down through the portal and the hedgehog shot through thin air instead. —\n⠀ https://t.co/0xYn3jmnmN",,0
1456431620701884417,2021-11-05T01:22:12.000Z,75944579,"@martinplaut All your messengers, your servants and more, in all the regions will be in INTERNMENT Camp soon. Why don't you go there? What a Grande idea Mr. Platypus. We are going out full force to fight and burry not Tigrey people but the terrorist  #TPLF &amp; silence racists like you. #NoMore",,0
1456431457673441284,2021-11-05T01:21:33.000Z,552657330,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456431330053398538,2021-11-05T01:21:02.000Z,521986077,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456428691395805185,2021-11-05T01:10:33.000Z,45747659,via @renew_economy From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/fo7oTUIGSi,,1
1456428498000785410,2021-11-05T01:09:47.000Z,1079242670785073152,"""Interview with a Platypus""\nSeason 2 Episode 2a https://t.co/s6LYSuUztS",1456395839891402754,5
1456427500616110080,2021-11-05T01:05:49.000Z,1267557710230245376,I'm just saying if someone went full on super villain and tried to send all men to Mars a la Doofenshmirtz I'd fight Perry the Platypus myself,,1
1456427420815278083,2021-11-05T01:05:30.000Z,1015569703694000128,@link_platypus Happy Diwali to you as well link!,,1
1456426784040394756,2021-11-05T01:02:59.000Z,2310971178,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456425848181968897,2021-11-05T00:59:15.000Z,1132105326054875136,@ThatEricAlper @CO0483T Hi baby platypus. \nYou are already smarter than our President.,,0
1456425820239638529,2021-11-05T00:59:09.000Z,1363123735,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456425446363574273,2021-11-05T00:57:40.000Z,1264802358174773249,"Lmaooooo! One day you think the platypus is the most ridiculous animal, and then you learn that every minute is bullshit o’clock for owls. https://t.co/f12uXR38Ob",1456117687298535424,173
1456425417426935813,2021-11-05T00:57:33.000Z,37515753,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456425307884466179,2021-11-05T00:57:07.000Z,1347105457148727296,@Lizardguy17 @Daikame_ @AniTweetCity But comes from an egg....\nPlatypus also come from eggs.,,0
1456424967004884993,2021-11-05T00:55:45.000Z,883575896329814017,"- aardvarks/tenrecs/elephants/manatees (Afrotheria) and anteaters/tree sloths/armadillos (Xenarthra)\n- Overall, these animals make up all of the placental mammals, as opposed to marsupials and monotremes (platypus/echidna)\n- mammals are fucking cool",1456422901859635201,2
1456424863208329216,2021-11-05T00:55:21.000Z,1344197775743848449,Terry the platypus \n\nArtwork By Aliya Of Etsy\n\n(If some1 did this already I’m gonna kms) https://t.co/E3l13MPR2s,,0
1456424358612668424,2021-11-05T00:53:20.000Z,1282499648276459520,@ron_platypus yesss!! thank uuu,,1
1456424126978035739,2021-11-05T00:52:25.000Z,1021709459406512128,@ron_platypus https://t.co/Mf7PVg2aUV,,1
