"Decade"	"Amp"	"Adjective"	"N.Amp."	"N.Adj."	"OBS"	"EXP"	"Probability"	"CollStrength"	"OddsRatio"	"p"	"attr"	"sig"
"168"	1870	"pretty"	NA	"7"	"12"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"169"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"170"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"171"	1870	"pretty"	NA	"7"	"62"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"172"	1870	"pretty"	NA	"7"	"52"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"173"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"174"	1870	"pretty"	NA	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"175"	1870	"pretty"	NA	"7"	"111"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"176"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"177"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"178"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"179"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"180"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"181"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"182"	1870	"pretty"	NA	"7"	"20"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"183"	1870	"pretty"	NA	"7"	"18"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"184"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"185"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"186"	1870	"pretty"	NA	"7"	"16"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"187"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"188"	1870	"pretty"	NA	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"189"	1870	"pretty"	NA	"7"	"13"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"190"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"191"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"192"	1870	"pretty"	NA	"7"	"104"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"193"	1870	"pretty"	NA	"7"	"12"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"194"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"195"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"196"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"197"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"198"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"199"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"200"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"201"	1870	"pretty"	NA	"7"	"9"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"202"	1870	"pretty"	NA	"7"	"18"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"203"	1870	"pretty"	NA	"7"	"93"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"204"	1870	"pretty"	NA	"7"	"16"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"205"	1870	"pretty"	NA	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"206"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"207"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"208"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"209"	1870	"pretty"	NA	"7"	"59"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"210"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"211"	1870	"pretty"	NA	"7"	"31"	"0"	"0"	0.01	0	0	"1"	"repel"	"n.s."
"212"	1870	"pretty"	NA	"7"	"90"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"213"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"214"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"215"	1870	"pretty"	NA	"7"	"51"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"216"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"217"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"218"	1870	"pretty"	NA	"7"	"267"	"0"	"0.3"	0.04	0	0	"1"	"repel"	"n.s."
"219"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"220"	1870	"pretty"	NA	"7"	"9"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"221"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"222"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"223"	1870	"pretty"	NA	"7"	"47"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"224"	1870	"pretty"	NA	"7"	"32"	"1"	"0"	0.01	1.43	31.69	"0.037039"	"attr"	"n.s."
"225"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"226"	1870	"pretty"	NA	"7"	"26"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"227"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"228"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"229"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"230"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"231"	1870	"pretty"	NA	"7"	"13"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"232"	1870	"pretty"	NA	"7"	"21"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"233"	1870	"pretty"	NA	"7"	"251"	"0"	"0.3"	0.04	0	0	"1"	"repel"	"n.s."
"234"	1870	"pretty"	NA	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"235"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"236"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"237"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"238"	1870	"pretty"	NA	"7"	"14"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"239"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"240"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"241"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"242"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"243"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"244"	1870	"pretty"	NA	"7"	"57"	"1"	"0.1"	0.01	1.19	17.5	"0.065151"	"attr"	"n.s."
"245"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"246"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
