Id	Participant	Group	Item	Response	Gender	Age
373	L063	L2_Intermediate	4	NumeralNoun	Male	64
375	L065	L2_Intermediate	8	NumeralNoun	Male	64
377	L067	L2_Intermediate	11	NumeralNoun	Male	64
378	L068	L2_Intermediate	12	NumeralNoun	Male	64
379	L069	L2_Intermediate	13	NumeralNoun	Male	64
380	L070	L2_Intermediate	15	NumeralNoun	Male	64
381	L071	L2_Intermediate	1	NumeralNoun	Female	18
382	L072	L2_Intermediate	3	NumeralNoun	Female	18
383	L073	L2_Intermediate	4	NumeralNoun	Female	18
385	L075	L2_Intermediate	8	NumeralNoun	Female	18
388	L078	L2_Intermediate	12	NumeralNoun	Female	18
389	L079	L2_Intermediate	13	NumeralNoun	Female	18
391	L081	L2_Intermediate	1	NumeralNoun	Female	21
392	L082	L2_Intermediate	3	NumeralNoun	Female	21
393	L083	L2_Intermediate	4	NumeralNoun	Female	21
398	L088	L2_Intermediate	12	NumeralNoun	Female	21
399	L089	L2_Intermediate	13	NumeralNoun	Female	21
401	L091	L2_Intermediate	1	NumeralNoun	Female	23
402	L092	L2_Intermediate	3	NumeralNoun	Female	23
403	L093	L2_Intermediate	4	NumeralNoun	Female	23
408	L098	L2_Intermediate	12	NumeralNoun	Female	23
409	L099	L2_Intermediate	13	NumeralNoun	Female	23
410	L100	L2_Intermediate	15	NumeralNoun	Female	23
411	L101	L2_Intermediate	1	NumeralNoun	Female	23
412	L102	L2_Intermediate	3	NumeralNoun	Female	23
413	L103	L2_Intermediate	4	NumeralNoun	Female	23
419	L109	L2_Intermediate	13	NumeralNoun	Female	23
421	L111	L2_Intermediate	1	NumeralNoun	Male	21
422	L112	L2_Intermediate	3	NumeralNoun	Male	21
423	L113	L2_Intermediate	4	NumeralNoun	Male	21
425	L115	L2_Intermediate	8	NumeralNoun	Male	21
428	L118	L2_Intermediate	12	NumeralNoun	Male	21
429	L119	L2_Intermediate	13	NumeralNoun	Male	21
430	L120	L2_Intermediate	15	NumeralNoun	Male	21
431	L121	L2_Intermediate	1	NumeralNoun	Male	22
432	L122	L2_Intermediate	3	NumeralNoun	Male	22
433	L123	L2_Intermediate	4	NumeralNoun	Male	22
439	L129	L2_Intermediate	13	NumeralNoun	Male	22
441	L131	L2_Intermediate	1	NumeralNoun	Female	22
442	L132	L2_Intermediate	3	NumeralNoun	Female	22
443	L133	L2_Intermediate	4	NumeralNoun	Female	22
445	L135	L2_Intermediate	8	NumeralNoun	Female	22
448	L138	L2_Intermediate	12	NumeralNoun	Female	22
449	L139	L2_Intermediate	13	NumeralNoun	Female	22
450	L140	L2_Intermediate	15	NumeralNoun	Female	22
461	L151	L2_Intermediate	1	NumeralNoun	Male	42
462	L152	L2_Intermediate	3	NumeralNoun	Male	42
